benchmark,bits,distance,dual_status,ipopt_objective,objective,primal_status,random,time
unitbox_c_10_10_1_100.jl,8,1.04081615303641,false,-14.179042131697477,-13.597723764391539,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,0.6701911888798563,false,-14.179042131697477,-12.682645279704454,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,1.2865242568873387,false,-14.179042131697477,-13.204452274191596,false,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,1.6499630892492307,true,-14.179042131697477,-12.79,true,true,0.9899999999993867
unitbox_c_10_10_1_100.jl,8,1.2914945732061258,true,-14.179042131697477,-13.844784055779105,false,true,2.0099999999985934
unitbox_c_10_10_1_100.jl,8,0.9798012399596081,false,-14.179042131697477,-13.551998569107143,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,0.5861397240620287,false,-14.179042131697477,-13.915856731876273,false,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,1.6501829859193053,true,-14.179042131697477,-12.775535600003042,true,true,4.3200000000089895
unitbox_c_10_10_1_100.jl,8,0.24672513853099842,false,-14.179042131697477,-14.180502837438421,false,true,6.359999999992156
unitbox_c_10_10_1_100.jl,8,0.4690946887454859,false,-14.179042131697477,-14.153031615525938,false,true,7.889999999979531
unitbox_c_10_10_1_100.jl,8,1.7093088427419818,true,-14.179042131697477,-12.362928616865172,true,true,1.319999999999106
unitbox_c_10_10_1_100.jl,8,1.4226915014680166,false,-14.179042131697477,-11.693095305803451,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,0.15441919447045108,true,-14.179042131697477,-14.150000000000002,true,true,0.9599999999994122
unitbox_c_10_10_1_100.jl,8,1.0118524109714238,true,-14.179042131697477,-13.53,true,true,1.1399999999992592
unitbox_c_10_10_1_100.jl,8,0.21838620192216993,true,-14.179042131697477,-14.147110021246878,false,true,1.7699999999987235
unitbox_c_10_10_1_100.jl,8,0.4706418507468338,false,-14.179042131697477,-13.955342677868588,false,true,10.000020000021332
