benchmark,bits,dual_status,ipopt_objective,objective,primal_status,random,time
unitbox_c_10_10_1_50.jl,8,false,-7.380000185475224,-7.222249841594676,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-2.95,true,false,0.5399999999997693
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,0.9299999999994377
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,0.8399999999995142
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,2.430000000001345
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.597179750923032,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,1.4099999999990296
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.66,true,true,4.740000000005524
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.654035868738205,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,2.280000000000362
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,0.8399999999995142
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,1.7099999999987745
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.637332996953114,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,2.7600000000035068
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.66,true,true,1.379999999999055
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.636108082694421,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.66,true,true,0.9599999999994122
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,2.0699999999989864
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-6.626482513229205,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,2.159999999999576
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,1.2299999999991826
unitbox_c_10_10_1_50.jl,16,true,-7.380000185475224,-7.380000000000001,true,true,1.1099999999992847
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.635195532732691,true,false,10.000020000021332
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.637776726536055,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-2.95,true,true,1.9499999999985704
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.634379102743682,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-7.380000000000001,true,true,1.4099999999990296
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-2.95,true,true,2.490000000001738
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.639831104478491,true,true,1.0799999999993102
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-7.380000000000001,true,true,2.9700000000048825
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.66,true,true,1.859999999998647
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.6599179473276795,true,true,0.6599999999996673
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-7.380000000000001,true,true,1.5299999999989276
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.646481178026473,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-7.380000000000001,true,true,1.499999999998953
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-2.95,true,true,1.559999999998902
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-2.95,true,true,1.1999999999992081
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-7.380000000000001,true,true,1.559999999998902
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.638779056761864,true,true,0.7499999999995908
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.66,true,true,1.499999999998953
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.6310417740795895,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.642777082151852,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,32,true,-7.380000185475224,-6.66,true,true,1.499999999998953
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,false,1.979999999998545
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.5448759379471415,true,true,3.9900000000115647
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,1.0499999999993357
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,1.1999999999992081
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.544466580502089,true,true,2.6400000000027206
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,2.1899999999997726
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,1.2899999999991316
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,2.219999999999969
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,1.0199999999993612
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.544894779324974,true,true,2.5200000000019345
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.5448389596388346,true,true,3.5400000000086167
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,2.7600000000035068
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.54447864252392,true,true,2.7600000000035068
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.544462964282319,true,true,2.430000000001345
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,0.8699999999994887
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,1.4699999999989786
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.544851677850973,true,true,3.6300000000092063
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-5.88553454703559,true,true,1.1099999999992847
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,2.159999999999576
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.544905815927979,true,true,3.450000000008027
unitbox_c_10_10_2_100.jl,0,true,-6.420000192955972,-6.42,true,true,0.5399999999997693
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.8441017731146445,true,false,2.4600000000015414
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-6.42,true,true,1.739999999998749
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.93,true,true,1.859999999998647
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-6.545868805837237,true,true,1.4099999999990296
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.230378717373526,true,true,1.739999999998749
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.628431568920802,true,true,3.6900000000095994
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.578877873043979,true,true,1.4099999999990296
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.93,true,true,5.070000000002801
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.233618767137794,true,true,2.940000000004686
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-6.42,true,true,1.499999999998953
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-6.42,true,true,1.499999999998953
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-6.41,true,true,6.299999999992651
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-6.49,true,true,1.8299999999986725
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-3.1599999999999997,true,true,2.5800000000023275
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.93,true,true,3.840000000010582
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-4.972904621562023,true,true,2.550000000002131
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-6.5409679882502285,true,true,10.000020000021332
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-3.1711044609788464,true,true,1.1399999999992592
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.16,true,true,1.319999999999106
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.93,true,true,1.6799999999988
unitbox_c_10_10_2_100.jl,8,true,-6.420000192955972,-5.620000000000001,true,true,1.0799999999993102
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.544514515226782,true,false,2.0099999999985934
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,3.4200000000078306
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,0.5099999999997948
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,1.2899999999991316
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.545124387463439,true,true,1.7699999999987235
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,0.9599999999994122
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,2.4600000000015414
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,1.439999999999004
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,1.1399999999992592
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,6.029999999994879
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.544303167972876,true,true,3.6900000000095994
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-5.888737747121832,true,true,0.6899999999996418
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-6.42,true,true,3.720000000009796
unitbox_c_10_10_2_100.jl,16,true,-6.420000192955972,-5.885245466477657,true,true,0.8999999999994632
